iter	Logloss
304	0.1449764997
305	0.1449635554
306	0.1449577152
307	0.1449389016
308	0.144898674
309	0.1448552357
310	0.1448244948
311	0.1447533955
312	0.144733071
313	0.1447266206
314	0.144654853
315	0.1446115309
316	0.1445990806
317	0.1445868917
318	0.1445748336
319	0.144536974
320	0.1445228238
321	0.1445102572
322	0.1444987948
323	0.1444954969
324	0.144473095
325	0.1444306591
326	0.1443087995
327	0.1442867462
328	0.1441038259
329	0.1440914918
330	0.144080102
331	0.1440657048
332	0.1439184795
333	0.1439035885
334	0.1438801405
335	0.1437619564
336	0.1436853365
337	0.1436563389
338	0.1435944357
339	0.1435846875
340	0.1435687505
341	0.1435575204
342	0.1435466681
343	0.1434375785
344	0.1434245034
345	0.1434172976
346	0.1434058787
347	0.1433941837
348	0.143351835
349	0.1433234186
350	0.1433129004
351	0.1433032394
352	0.1432851667
353	0.1432449536
354	0.1432198931
355	0.1430838397
356	0.1430751956
357	0.1430663481
358	0.1430453554
359	0.1430176362
360	0.1429052052
361	0.1428888468
362	0.1428731858
363	0.1428585417
364	0.1428269872
365	0.1428137232
366	0.1428023479
367	0.1427865562
368	0.1427256699
369	0.1426718151
370	0.1426560815
371	0.142647728
372	0.1426359459
373	0.1426158974
374	0.1426027788
375	0.1425717473
376	0.1425448853
377	0.1425354276
378	0.1425229046
379	0.1425080136
380	0.1424985123
381	0.1424686721
382	0.142348643
383	0.1423433839
384	0.1423125267
385	0.1423007156
386	0.1422845751
387	0.1422545896
388	0.1422463669
389	0.1422351078
390	0.1422223669
391	0.1422142894
392	0.1421996598
393	0.1421946913
394	0.1421823862
395	0.142151006
396	0.1421289382
397	0.1421059116
398	0.1420920375
399	0.1420835822
400	0.1420767106
401	0.1420692432
402	0.1420269527
403	0.142020633
404	0.1420111464
405	0.1419980132
406	0.1419905749
407	0.141976817
408	0.1419679115
409	0.1419565071
410	0.1419323037
411	0.1419161487
412	0.141910294
413	0.1419024925
414	0.1418403133
415	0.1418336741
416	0.141817461
417	0.141798168
418	0.1417918774
419	0.1417547006
420	0.1417357418
421	0.14171395
422	0.1417096788
423	0.1416984197
424	0.1416911558
425	0.1416720517
426	0.1416204778
427	0.1415886763
428	0.1415831993
429	0.1415784342
430	0.1415630201
431	0.1415130588
432	0.1415086278
433	0.1415010733
434	0.1414912089
435	0.1414833929
436	0.1414775527
437	0.1414704922
438	0.1414618481
439	0.1414395914
440	0.1414335333
441	0.1414273154
442	0.1414202984
443	0.1414111895
444	0.1414040127
445	0.1413979691
446	0.1413914316
447	0.1413845744
448	0.1413686083
449	0.1413563323
450	0.1413451894
451	0.1413401628
452	0.1413313153
453	0.1413220175
454	0.1413134025
455	0.1412916688
456	0.1412854073
457	0.141261262
458	0.1412562063
459	0.1411754169
460	0.1411582159
461	0.1411457946
462	0.1411414653
463	0.1411132813
464	0.141079257
465	0.1410675621
466	0.1410552134
467	0.1409445257
468	0.1409401528
469	0.1409363029
470	0.1409087871
471	0.1408636346
472	0.1408540752
473	0.1408414505
474	0.1408336927
475	0.1408183948
476	0.1408079202
477	0.1407975619
478	0.1407878137
479	0.1407782108
480	0.1407721817
481	0.1407603851
482	0.1407514214
483	0.1407098572
484	0.1406917555
485	0.1406786804
486	0.1406691356
487	0.1406658233
488	0.1406521671
489	0.1406422155
490	0.1406256102
491	0.1406156005
492	0.140573121
493	0.140532443
494	0.1405212566
495	0.1405140653
496	0.1405088062
497	0.1404925641
498	0.1404754357
499	0.1404703074
500	0.1404525398
501	0.1404420798
502	0.1404327093
503	0.1404263606
504	0.1404222202
505	0.1404134018
506	0.1404094357
507	0.140394501
508	0.1403693533
509	0.1403610289
510	0.1403499441
511	0.1403444671
512	0.1403327576
513	0.1403277601
514	0.1402274888
515	0.1402177551
516	0.1401721231
517	0.1400644281
